Rule,B_min,B_max,S_min,S_max,Died,Exploded,Chaos,Unique_Gliders,Unique_Oscillators_Total,P1_Count,P2_Count,P3_Count,P4_Count,P5_Count,P6_Count,P7_Count,P8_Count,P9_Count,P10_Count
"B2-3/S0-1,7",2,3,0,1,264,3580,113,27,129,38,51,22,4,0,10,0,2,1,0
"B2-3/S0-1,7-8",2,3,0,1,266,3640,82,26,123,32,55,18,3,0,8,0,3,0,0
"B1/S2-4,7",1,1,2,4,188,4290,0,26,24,1,11,0,0,0,6,0,0,0,5
"B1/S2-5,8",1,1,2,5,163,4311,0,25,16,1,8,0,0,0,2,0,0,0,4
"B1/S2-3,7",1,1,2,3,184,4246,0,24,9,1,6,1,1,0,0,0,0,0,0
"B1/S2-3,6-7",1,1,2,3,200,4270,0,24,6,1,4,1,0,0,0,0,0,0,0
"B1/S2-3,6-8",1,1,2,3,202,4298,0,24,3,1,2,0,0,0,0,0,0,0,0
B1/S2-7,1,1,2,7,165,4327,0,23,31,1,16,0,1,0,5,0,0,0,5
"B1/S2-4,6-8",1,1,2,4,185,4300,0,23,23,2,13,0,0,0,6,0,0,0,2
"B1/S2-3,8",1,1,2,3,151,4325,0,23,9,2,5,0,0,1,1,0,0,0,0
B2-3/S0-1,2,3,0,1,263,3704,92,22,139,26,70,27,6,0,5,0,4,0,0
"B1/S2-5,7",1,1,2,5,160,4321,0,22,29,0,14,0,1,0,8,0,0,0,4
"B1/S2-4,6",1,1,2,4,190,4272,0,22,21,1,11,0,0,0,5,0,0,0,3
"B1/S2-3,7-8",1,1,2,3,165,4289,0,22,12,2,8,1,1,0,0,0,0,0,0
B1/S2-3,1,1,2,3,196,4275,0,22,6,0,5,1,0,0,0,0,0,0,0
"B2-4/S0-1,8",2,4,0,1,198,3788,34,21,165,24,101,17,6,0,10,0,4,0,0
"B2-3/S0-1,8",2,3,0,1,260,3717,107,21,139,29,73,28,5,0,3,0,0,1,0
B1/S2-4,1,1,2,4,196,4247,0,21,21,1,9,0,1,0,7,0,0,0,2
"B1/S2-4,6-7",1,1,2,4,189,4289,0,21,21,2,9,0,1,0,5,0,1,0,3
B1/S2-6,1,1,2,6,170,4299,0,20,25,0,10,0,1,0,9,0,0,0,3
"B1/S2-3,6",1,1,2,3,192,4274,0,20,5,1,3,0,0,0,0,0,0,0,1
"B2-7/S0-1,6-8",2,7,0,1,200,3789,65,19,180,27,110,16,9,0,16,0,1,0,0
"B2-3/S0-1,5-6",2,3,0,1,194,3652,102,19,132,31,60,22,4,0,10,0,0,0,0
"B2-3/S0-1,5-7",2,3,0,1,190,3553,144,19,127,28,60,25,5,0,3,0,1,1,0
"B1/S3-5,7-8",1,1,3,5,408,3201,0,19,29,6,20,0,2,0,1,0,0,0,0
"B1/S2-4,7-8",1,1,2,4,151,4305,0,19,24,2,13,0,0,0,3,0,0,0,5
B2-4/S0-1,2,4,0,1,196,3806,38,18,179,34,89,22,10,0,17,0,2,0,0
"B2-3/S0-1,6-8",2,3,0,1,218,3630,104,18,146,27,71,30,2,0,7,0,5,0,0
"B2-3/S0-1,6-7",2,3,0,1,194,3689,105,18,131,27,63,24,3,0,8,0,3,1,0
"B1/S3,7",1,1,3,3,414,3229,0,18,30,6,20,0,4,0,0,0,0,0,0
B1/S2-8,1,1,2,8,189,4305,0,18,23,1,9,0,1,0,6,0,0,0,3
"B2-4/S0-1,7",2,4,0,1,211,3799,41,17,162,25,95,17,6,0,12,0,2,0,0
"B2-4/S0-1,5-8",2,4,0,1,187,3911,17,17,156,29,88,18,3,0,12,0,0,0,0
"B1/S4,8",1,1,4,4,438,3127,0,17,40,6,33,0,1,0,0,0,0,0,0
"B1/S3-6,8",1,1,3,6,378,3169,0,17,38,3,34,0,0,0,1,0,0,0,0
"B1/S3-4,7-8",1,1,3,4,414,3115,0,17,29,5,23,0,1,0,0,0,0,0,0
"B1/S3-4,6-7",1,1,3,4,398,3162,0,17,28,7,20,0,0,0,1,0,0,0,0
"B1/S3,7-8",1,1,3,3,421,3211,0,17,27,7,18,0,2,0,0,0,0,0,0
"B1/S3-5,7",1,1,3,5,406,3207,1,17,27,6,20,0,1,0,0,0,0,0,0
B1/S2-5,1,1,2,5,190,4277,0,17,21,0,9,0,1,0,6,0,0,0,3
"B2-5/S0-1,5",2,5,0,1,183,3788,45,16,174,39,94,25,6,0,9,0,0,0,0
"B2-4/S0-1,5-7",2,4,0,1,180,3832,21,16,157,26,88,16,7,0,14,0,1,0,0
B2-7/S0-1,2,7,0,1,209,3787,76,16,154,24,92,16,5,0,13,0,2,0,1
"B2-3/S0-1,5",2,3,0,1,206,3638,110,16,153,38,64,30,6,0,13,0,0,1,0
"B2-4/S0-1,5-6",2,4,0,1,185,3892,12,16,139,24,80,10,7,0,15,0,0,0,0
"B1/S4-6,8",1,1,4,6,458,3093,0,16,35,6,26,0,3,0,0,0,0,0,0
"B1/S4,7-8",1,1,4,4,461,3134,0,16,34,4,26,0,4,0,0,0,0,0,0
"B1/S5,7",1,1,5,5,418,3090,0,16,34,5,22,0,7,0,0,0,0,0,0
B1/S6-7,1,1,6,7,418,3161,0,16,34,3,25,0,6,0,0,0,0,0,0
B1/S4-5,1,1,4,5,409,3179,0,16,33,7,24,0,2,0,0,0,0,0,0
B1/S3-8,1,1,3,8,377,3204,0,16,30,4,22,0,1,0,3,0,0,0,0
