Rule,B_min,B_max,S_min,S_max,Died,Exploded,Chaos,Unique_Gliders,Unique_Oscillators_Total,P1_Count,P2_Count,P3_Count,P4_Count,P5_Count,P6_Count,P7_Count,P8_Count,P9_Count,P10_Count
B4-6/S1-2,4,6,1,2,432,1129,23,34,58,0,30,8,4,0,14,0,2,0,0
B2/S3-4,2,2,3,4,75,1697,0,29,6,2,3,0,0,1,0,0,0,0,0
B3-4/S5-8,3,4,5,8,944,660,2,24,149,0,56,1,17,1,36,0,35,0,0
B4-7/S1-2,4,7,1,2,427,1094,107,24,65,0,40,6,3,0,11,0,4,0,0
B4-12/S1-2,4,12,1,2,352,1109,202,23,67,0,52,5,4,0,5,0,1,0,0
B2/S3,2,2,3,3,109,1582,0,22,7,4,3,0,0,0,0,0,0,0,0
B2/S3-6,2,2,3,6,82,1820,0,21,18,3,6,0,0,4,2,0,0,0,0
B2/S3-5,2,2,3,5,76,1763,0,21,10,2,2,0,1,5,0,0,0,0,0
B4-15/S1-2,4,15,1,2,342,1081,191,20,80,0,56,6,2,0,14,0,2,0,0
B4-14/S1-2,4,14,1,2,349,1110,177,19,82,0,56,4,4,0,14,0,3,0,0
B2/S4-6,2,2,4,6,75,1707,0,18,7,2,4,0,0,0,0,0,0,0,1
B4-10/S1-2,4,10,1,2,328,1118,183,17,83,0,66,7,0,0,6,0,4,0,0
B4-9/S1-2,4,9,1,2,345,1100,190,17,73,0,59,7,4,0,3,0,0,0,0
B2/S4-11,2,2,4,11,82,1709,0,17,13,0,7,0,1,0,2,0,0,0,3
B3-4/S5-9,3,4,5,9,921,651,0,16,209,0,65,1,15,0,66,0,51,0,0
B4-13/S1-2,4,13,1,2,336,1115,186,16,80,0,65,4,1,0,9,0,1,0,0
B4-16/S1-2,4,16,1,2,348,1081,187,16,79,0,60,2,1,0,13,0,3,0,0
B4-11/S1-2,4,11,1,2,340,1132,170,16,69,0,51,4,3,0,8,0,2,0,0
B2/S9-12,2,2,9,12,173,1252,0,16,18,5,12,0,1,0,0,0,0,0,0
B2/S5-13,2,2,5,13,90,1443,0,16,17,2,14,0,0,0,0,0,0,0,0
B2/S4-7,2,2,4,7,77,1735,0,16,9,1,6,0,0,0,2,0,0,0,0
B2/S4-9,2,2,4,9,71,1705,0,16,8,0,4,0,0,0,3,0,0,0,1
B2/S4-12,2,2,4,12,72,1704,0,15,13,0,7,0,0,0,2,0,0,0,1
B2/S5-14,2,2,5,14,86,1408,0,15,13,1,11,0,0,0,1,0,0,0,0
B2/S5-15,2,2,5,15,90,1411,0,15,12,2,9,0,1,0,0,0,0,0,0
B2/S8-9,2,2,8,9,176,1246,0,14,20,2,18,0,0,0,0,0,0,0,0
B2/S6-11,2,2,6,11,162,1288,0,14,19,5,14,0,0,0,0,0,0,0,0
B2/S9-16,2,2,9,16,181,1227,0,14,19,3,14,0,2,0,0,0,0,0,0
B2/S11-16,2,2,11,16,172,1252,0,14,18,4,13,0,1,0,0,0,0,0,0
B2/S7-15,2,2,7,15,157,1231,0,14,15,1,14,0,0,0,0,0,0,0,0
B2/S4-10,2,2,4,10,82,1702,0,14,14,1,5,0,0,0,3,0,0,0,3
B4-8/S1-2,4,8,1,2,335,1131,187,13,78,0,51,5,1,0,16,0,5,0,0
B2/S9-10,2,2,9,10,165,1250,0,13,23,5,16,0,2,0,0,0,0,0,0
B2/S10-13,2,2,10,13,187,1226,0,13,23,4,17,0,2,0,0,0,0,0,0
B2/S6-9,2,2,6,9,157,1273,0,13,22,4,18,0,0,0,0,0,0,0,0
B2/S6-16,2,2,6,16,162,1276,0,13,22,5,16,0,0,0,1,0,0,0,0
B2/S7-8,2,2,7,8,168,1239,0,13,22,3,19,0,0,0,0,0,0,0,0
B2/S9-14,2,2,9,14,169,1247,0,13,22,2,19,0,1,0,0,0,0,0,0
B2/S8-11,2,2,8,11,156,1268,0,13,21,3,17,0,1,0,0,0,0,0,0
B2/S9-13,2,2,9,13,156,1247,0,13,21,4,15,0,2,0,0,0,0,0,0
B2/S12-13,2,2,12,13,176,1214,0,13,20,4,15,0,1,0,0,0,0,0,0
B2/S6-7,2,2,6,7,189,1241,0,13,19,4,13,0,2,0,0,0,0,0,0
B2/S11-13,2,2,11,13,168,1253,0,13,19,2,16,0,1,0,0,0,0,0,0
B2/S7-13,2,2,7,13,171,1233,0,13,18,3,15,0,0,0,0,0,0,0,0
B2/S5-12,2,2,5,12,84,1383,0,13,17,3,11,0,0,0,2,0,0,0,1
B2/S7-9,2,2,7,9,167,1253,0,13,16,3,13,0,0,0,0,0,0,0,0
B2/S6-15,2,2,6,15,185,1258,0,13,15,4,11,0,0,0,0,0,0,0,0
B2/S4-15,2,2,4,15,78,1728,0,13,14,0,6,0,0,1,4,0,0,0,3
B2/S6-10,2,2,6,10,162,1257,0,13,14,2,12,0,0,0,0,0,0,0,0
B2/S4-13,2,2,4,13,84,1697,0,13,13,1,7,0,1,0,2,0,0,0,1
B4/S5-8,4,4,5,8,1375,15,9,12,250,1,223,0,2,0,19,0,0,0,5
B3/S2,3,3,2,2,588,27,6,12,54,22,4,13,13,0,0,0,0,0,0
B2/S14-16,2,2,14,16,157,1253,0,12,25,6,18,0,1,0,0,0,0,0,0
B2/S10-12,2,2,10,12,160,1271,0,12,23,4,17,0,2,0,0,0,0,0,0
B2/S10-16,2,2,10,16,187,1240,0,12,22,3,15,0,4,0,0,0,0,0,0
B2/S6-8,2,2,6,8,172,1289,0,12,21,4,17,0,0,0,0,0,0,0,0
B2/S7-16,2,2,7,16,177,1283,0,12,21,4,15,0,2,0,0,0,0,0,0
B2/S13-15,2,2,13,15,150,1264,0,12,21,3,18,0,0,0,0,0,0,0,0
B2/S4-14,2,2,4,14,69,1703,0,12,18,0,9,0,1,1,4,0,0,0,3
B2/S9-11,2,2,9,11,160,1252,0,12,18,3,13,0,2,0,0,0,0,0,0
B2/S11,2,2,11,11,183,1251,0,12,18,2,14,0,2,0,0,0,0,0,0
B2/S13,2,2,13,13,177,1278,0,12,18,5,11,0,2,0,0,0,0,0,0
B2/S10,2,2,10,10,142,1293,0,12,17,4,11,0,2,0,0,0,0,0,0
B2/S5-10,2,2,5,10,94,1405,0,12,16,2,13,0,0,0,1,0,0,0,0
B2/S5-11,2,2,5,11,95,1390,0,12,16,2,11,0,1,0,2,0,0,0,0
B2/S7-11,2,2,7,11,167,1239,0,12,16,2,14,0,0,0,0,0,0,0,0
B2/S8-15,2,2,8,15,158,1273,0,12,16,2,14,0,0,0,0,0,0,0,0
B2/S12-15,2,2,12,15,161,1252,0,12,16,2,13,0,1,0,0,0,0,0,0
B2/S6-12,2,2,6,12,185,1262,0,12,15,4,11,0,0,0,0,0,0,0,0
B2/S4-16,2,2,4,16,85,1710,0,12,14,0,6,0,1,0,4,0,0,0,2
B2/S5-8,2,2,5,8,99,1423,0,12,12,4,8,0,0,0,0,0,0,0,0
B2/S4-8,2,2,4,8,90,1721,0,12,7,0,3,0,1,0,1,0,0,0,2
B4-6/S0-2,4,6,0,2,106,1489,30,11,74,16,38,12,3,0,2,0,2,1,0
B2/S3-8,2,2,3,8,81,1775,0,11,38,1,17,0,0,5,11,0,0,0,3
B2/S11-15,2,2,11,15,165,1275,0,11,25,6,17,0,2,0,0,0,0,0,0
B2/S12-14,2,2,12,14,192,1234,0,11,24,3,17,0,4,0,0,0,0,0,0
B2/S10-14,2,2,10,14,183,1239,0,11,23,3,18,0,2,0,0,0,0,0,0
